Aarons Pass,NSW 
Amaroo,ACT 
Amaroo,NSW 
Amaroo,QLD 
Ambania,WA 
Ambarvale,NSW 
Ambergate,WA 
Amberley,QLD 
Amber,QLD 
Ambleside,TAS 
Ambrose,QLD 
Amby,QLD 
Amelup,WA 
American Beach,SA 
American River,SA 
Amherst,VIC 
Amiens,QLD 
Amity Point,QLD 
Amity,QLD 
Amoonguna,NT
Amor,VIC 
Amosfield,NSW 
Amphitheatre,VIC 
Ampilatwatja,NT
Amyton,SA 
Anabranch North,NSW 
Anabranch South,NSW 
Anakie,QLD 
Anakie,VIC 
Anama,SA 
Anambah,NSW 
Anatye,NT
Ancona,VIC 
Andamooka,SA 
Andergrove,QLD 
Anderleigh,QLD 
Anderson,VIC 
Ando,NSW 
Andover,TAS 
Andrews Farm,SA 
Andrews,SA 
Andromache,QLD 
Anduramba,QLD 
Anembo,NSW 
Angas Plains,SA 
Angaston,SA 
Angas Valley,SA 
Angelo River,WA 
Angledale,NSW 
Angledool,NSW 
Angle Park,SA 
Anglers Reach,NSW 
Anglers Rest,VIC 
Anglesea,VIC 
Angle Vale,SA 
Angourie,NSW 
Angurugu,NT
Anindilyakwa,NT
Anketell,WA 
Anmatjere,NT
Anna Bay,NSW 
Annadale,SA 
Annandale,NSW 
Annandale,QLD 
Annangrove,NSW 
Annerley,QLD 
Anniebrook,WA 
Annie River,NT
Annuello,VIC 
Ansons Bay,TAS 
Anstead,QLD 
Antechamber Bay,SA 
Anthony,QLD 
Antigua,QLD 
Antill Ponds,TAS 
Antonymyre,WA 
Antwerp,VIC 
Anula,NT
Apamurra,SA 
Apoinga,SA 
Apollo Bay,TAS 
Apollo Bay,VIC 
Appila,SA 
Appin,NSW 
Appin Park,VIC 
Appin South,VIC 
Appin,VIC 
Appleby,NSW 
Applecross North,WA 
Applecross,WA 
Applethorpe,QLD 
Apple Tree Creek,QLD 
Appletree Flat,NSW 
Apple Tree Flat,NSW 
Apslawn,TAS 
Apsley,NSW 
Apsley,TAS 
Apsley,VIC 
Arable,NSW 
Arakoon,NSW 
Araluen,NSW 
Araluen,NT
Araluen,QLD 
Aramac,QLD 
Aramara,QLD 
Arana Hills,QLD 
Aranbanga,QLD 
Aranda,ACT 
Arapiles,VIC 
Ararat,VIC 
Aratula,NSW 
Aratula,QLD 
Arawata,VIC 
Arbouin,QLD 
Arbuckle,VIC 
Arcadia,NSW 
Arcadia,QLD 
Arcadia South,VIC 
Arcadia Vale,NSW 
Arcadia,VIC 
Archdale Junction,VIC 
Archdale,VIC 
Archerfield BC,QLD 
Archerfield,QLD 
Archer,NT
Archer River,QLD 
Archerton,VIC 
Archies Creek,VIC 
Ardath,WA 
Ardeer,VIC 
Ardglen,NSW 
Arding,NSW 
Ardlethan,NSW 
Ardmona,VIC 
Ardrossan,SA 
Ardross,WA 
Areegra,VIC 
Areyonga,NT
Argalong,NSW 
Argenton,NSW 
Argents Hill,NSW 
Argoon,NSW 
Argoon,QLD 
Argyle,NSW 
Argyle,VIC 
Argyle,WA 
Argyll,QLD 
Ariah Park,NSW 
Arkaroola Village,SA 
Arkell,NSW 
Arkstone,NSW 
Armadale North,VIC 
Armadale,VIC 
Armadale,WA 
Armagh,SA 
Armatree,NSW 
Armidale,NSW 
Armstrong Beach,QLD 
Armstrong Creek,QLD 
Armstrong Creek,VIC 
Armstrong,VIC 
Arncliffe,NSW 
Arndell Park,NSW 
Arno Bay,SA 
Arnold,NT
Arnold,VIC 
Arnold West,VIC 
Aroona,QLD 
Arrawarra Headland,NSW 
Arrawarra,NSW 
Arriga,QLD 
Arrino,WA 
Arrowsmith East,WA 
Arrowsmith,WA 
Artarmon,NSW 
Arthur River,TAS 
Arthur River,WA 
Arthurs Creek,VIC 
Arthurs Lake,TAS 
Arthurs Seat,VIC 
Arthurton,SA 
Arthurville,NSW 
Arumbera,NT
Arumpo,NSW 
Arundel Bc,QLD 
Arundel Dc,QLD 
Arundel,QLD 
Ascot Park,SA 
Ascot,QLD 
Ascot Vale,VIC 
Ascot,VIC 
Ascot,WA 
Ashbourne,SA 
Ashbourne,VIC 
Ashburton,VIC 
Ashbury,NSW 
Ashby Heights,NSW 
Ashby Island,NSW 
Ashby,NSW 
Ashby,WA 
Ashcroft,NSW 
Ashendon,WA 
Ashfield,NSW 
Ashfield,QLD 
Ashfield,WA 
Ashford,NSW 
Ashford,SA 
Ashgrove East,QLD 
Ashgrove,QLD 
Ashley,NSW 
Ashmont,NSW 
Ashmore City,QLD 
Ashmore,QLD 
Ashtonfield,NSW 
Ashton,SA 
Ashville,SA 
Ashwell,QLD 
Ashwood,VIC 
Aspendale Gardens,VIC 
Aspendale,VIC 
Aspley,QLD 
Asquith,NSW 
Athelstone,SA 
Atherton,QLD 
Athlone,VIC 
Athol Park,SA 
Athol,QLD 
Atholwood,NSW 
Atitjere,NT
Atkinsons Dam,QLD 
Attadale,WA 
Attunga,NSW 
Attwood,VIC 
Atwell,WA 
Aubigny,QLD 
Aubin Grove,WA 
Aubrey,VIC 
Auburn,NSW 
Auburn,SA 
Auburn South,VIC 
Auburn Vale,NSW 
Auburn,VIC 
Auchenflower,QLD 
Auchmore,VIC 
Audley,NSW 
Augathella,QLD 
Augusta,WA 
Augustine Heights,QLD 
Auldana,SA 
Aurukun,QLD 
Austinmer,NSW 
Austins Ferry,TAS 
Austinville,QLD 
Austral Eden,NSW 
Australia Fair,QLD 
Australian Defence Forces,NSW 
Australian National University,ACT 
Australia Plains,SA 
Australia Square,NSW 
Australind,WA 
Austral,NSW 
Avalon Beach,NSW 
Avalon,VIC 
Aveley,WA 
Avenell Heights,QLD 
Avenel,VIC 
Avenue Range,SA 
Avisford,NSW 
Avoca Beach,NSW 
Avoca Dell,SA 
Avoca,NSW 
Avoca,QLD 
Avoca,TAS 
Avoca Vale,QLD 
Avoca,VIC 
Avondale Heights,VIC 
Avondale,NSW 
Avondale,QLD 
Avonmore,VIC 
Avon,NSW 
Avon Plains,VIC 
Avon,SA 
Avonside,NSW 
Avonsleigh,VIC 
Avon Valley National Park,WA 
Awaba,NSW 
Axe Creek,VIC 
Axedale,VIC 
Aylmerton,NSW 
Ayrford,VIC 
Ayr,QLD 
Ayton,QLD 
Baan Baa,NSW 
Baandee,WA 
Baarmutha,VIC 
Babakin,WA 
Babbage Island,WA 
Babinda,NSW 
Babinda,QLD 
Babyl Creek,NSW 
Bacchus Marsh,VIC 
Back Creek,NSW 
Back Forest,NSW 
Backmede,NSW 
Back Plains,QLD 
Back Valley,SA 
Backwater,NSW 
Backy Point,SA 
Baddaginnie,VIC 
Baden,TAS 
Badgebup,WA 
Badger Creek,VIC 
Badger Head,TAS 
Badgerin Rock,WA 
Badgerys Creek,NSW 
Badgingarra,WA 
Badgin,WA 
Badjaling,WA 
Badja,NSW 
Badu Island,QLD 
Bael Bael,VIC 
Baerami Creek,NSW 
Baerami,NSW 
Baffle Creek,QLD 
Baffle West,QLD 
Bagdad North,TAS 
Bagdad,TAS 
Bagnoo,NSW 
Bago,NSW 
Bagot,NT
Bagotville,NSW 
Bagot Well,SA 
Bagshot North,VIC 
Bagshot,VIC 
Bahgallah,VIC 
Bahrs Scrub,QLD 
Bailieston,VIC 
Bailup,WA 
Baines,NT
Baird Bay,SA 
Bairnsdale,VIC 
Bajool,QLD 
Bakara,SA 
Bakara Well,SA 
Bakers Beach,TAS 
Bakers Bend,QLD 
Bakers Creek,NSW 
Bakers Creek,QLD 
Bakers Hill,WA 
Bakers Swamp,NSW 
Bakery Hill,VIC 
Bakewell,NT
Baking Board,QLD 
Balaclava,NSW 
Balaclava,VIC 
Balaklava,SA 
Balala,NSW 
Balbarrup,WA 
Balberra,QLD 
Balcatta,WA 
Balcolyn,NSW 
Balcomba,QLD 
Bald Blair,NSW 
Baldersleigh,NSW 
Bald Hills,NSW 
Bald Hills,QLD 
Bald Hills,SA 
Bald Hills,VIC 
Baldina,SA 
Baldivis,WA 
Bald Knob,QLD 
Bald Nob,NSW 
Bald Ridge,NSW 
Baldry,NSW 
Balfes Creek,QLD 
Balfours Peak,NSW 
Balgal Beach,QLD 
Balga,WA 
Balgowan,QLD 
Balgowan,SA 
Balgowlah Heights,NSW 
Balgowlah,NSW 
Balgownie,NSW 
Balhannah,SA 
Balickera,NSW 
Balingup,WA 
Balintore,VIC 
Balkuling,WA 
Balla Balla,WA 
Balladong,WA 
Balladonia,WA 
Balladoran,NSW 
Ballajura,WA 
Ballalaba,NSW 
Ballandean,QLD 
Ballangeich,VIC 
Ballan,VIC 
Ballapur,VIC 
Ballarat Central,VIC 
Ballarat East,VIC 
Ballarat Mc,VIC 
Ballarat North,VIC 
Ballarat Roadside Delivery,VIC 
Ballarat,VIC 
Ballarat West,VIC 
Ballard,QLD 
Ballaroo,QLD 
Ballast Head,SA 
Ballaying,WA 
Ball Bay,QLD 
Balldale,NSW 
Ballendella,VIC 
Ballengarra,NSW 
Balliang East,VIC 
Balliang,VIC 
Ballidu,WA 
Ballimore,NSW 
Ballina,NSW 
Ballogie,QLD 
Bally Bally,WA 
Ballyroe,NSW 
Ballyrogan,VIC 
Balmain East,NSW 
Balmain,NSW 
Balmattum,VIC 
Balmoral,NSW 
Balmoral,QLD 
Balmoral Ridge,QLD 
Balmoral,VIC 
Balmoral Village,NSW 
Balnagowan,QLD 
Balnarring Beach,VIC 
Balnarring,VIC 
Balook,VIC 
Balranald,NSW 
Balwyn East,VIC 
Balwyn North,VIC 
Balwyn,VIC 
Bamaga,QLD 
Bamarang,NSW 
Bamawm Extension,VIC 
Bamawm,VIC 
Bambaroo,QLD 
Bamboo Creek,QLD 
Bamboo,QLD 
Bambra,VIC 
Bambun,WA 
Bamganie,VIC 
Banana,QLD 
Ban Ban,QLD 
Ban Ban Springs,QLD 
Banca,TAS 
Bancroft,QLD 
Banda Banda,NSW 
Bandiana Milpo,VIC 
Bandiana,VIC 
Bandon Grove,NSW 
Bandya,WA 
Bandy Creek,WA 
Bangadang,NSW 
Bangalee,NSW 
Bangalee,QLD 
Bangalow,NSW 
Bangerang,VIC 
Bangham,SA 
Bangheet,NSW 
Bangholme,VIC 
Bango,NSW 
Bangor,NSW 
Bangor,SA 
Bangor,TAS 
Banjup,WA 
Banks,ACT 
Banks Creek,QLD 
Banksia Beach,QLD 
Banksiadale,WA 
Banksia Grove,WA 
Banksia,NSW 
Banksia Park,SA 
Banksia Peninsula,VIC 
Banksmeadow,NSW 
Banks Pocket,QLD 
Bankstown Aerodrome,NSW 
Bankstown North,NSW 
Bankstown,NSW 
Bankstown Square,NSW 
Bannaby,NSW 
Bannerton,VIC 
Bannister,NSW 
Bannister,WA 
Bannockburn,QLD 
Bannockburn,VIC 
Banoon,NSW 
Banora Point,NSW 
Banyabba,NSW 
Banyan,VIC 
Banyena,VIC 
Banyo,QLD 
Banyule,VIC 
Bapaume,QLD 
Barabba,SA 
Baradine,NSW 
Baraimal,NSW 
Baralaba,QLD 
Barambah,QLD 
Baranduda,VIC 
Barangaroo,NSW 
Bara,NSW 
Barbalin,WA 
Bar Beach,NSW 
Barberton,WA 
Barcaldine Downs,QLD 
Barcaldine,QLD 
Barcoongere,NSW 
Barden Ridge,NSW 
Bardia,NSW 
Bardon,QLD 
Bardwell Park,NSW 
Bardwell Valley,NSW 
Bareena,VIC 
Baree,QLD 
Barellan,NSW 
Barellan Point,QLD 
Barfold,VIC 
Bargara,QLD 
Bargo,NSW 
Barham,NSW 
Barigan,NSW 
Baringhup,VIC 
Baringhup West,VIC 
Barinia,SA 
Barjarg,VIC 
Barker Creek Flat,QLD 
Barkers Creek,VIC 
Barkers Vale,NSW 
Barkly,QLD 
Barkly,VIC 
Barkstead,VIC 
Barlil,QLD 
Barlows Hill,QLD 
Barlyne,QLD 
Barmah,VIC 
Barmaryee,QLD 
Barmedman,NSW 
Barmera,SA 
Barmoya,QLD 
Barnadown,VIC 
Barnard,QLD 
Barna,SA 
Barnawartha North,VIC 
Barnawartha,VIC 
Barndioota,SA 
Barnes Bay,TAS 
Barney Point,QLD 
Barneys Reef,NSW 
Barney View,QLD 
Barnsley,NSW 
Baromi,VIC 
Barongarook,VIC 
Barongarook West,VIC 
Barooga,NSW 
Baroota,SA 
Barossa Goldfields,SA 
Bar Point,NSW 
Barraba,NSW 
Barrabool,VIC 
Barrabup,WA 
Barrack Heights,NSW 
Barrack Point,NSW 
Barraganyatti,NSW 
Barragga Bay,NSW 
Barragup,WA 
Barrakee,VIC 
Barramornie,QLD 
Barramunga,VIC 
Barraport,VIC 
Barraport West,VIC 
Barratta,NSW 
Barratta,QLD 
Barrengarry,NSW 
Barren Grounds,NSW 
Barretta,TAS 
Barretts Creek,NSW 
Barrine,QLD 
Barringella,NSW 
Barringha,QLD 
Barrington,NSW 
Barrington,TAS 
Barrington Tops,NSW 
Barringun,NSW 
Barringun,QLD 
Barron Gorge,QLD 
Barron,QLD 
Barrow Creek,NT
Barrow Island,WA 
Barry,NSW 
Barrys Reef,VIC 
Bartle Frere,QLD 
Barton,ACT 
Barunah Park,VIC 
Barunah Plains,VIC 
Barunga Gap,SA 
Barunga,NT
Barwang,NSW 
Barwidgee,VIC 
Barwidgi,QLD 
Barwite,VIC 
Barwon Downs,VIC 
Barwon Heads,VIC 
Barwon,NSW 
Baryulgil,NSW 
Basalt,QLD 
Basalt,VIC 
Basilisk,QLD 
Basin Pocket,QLD 
Basin View,NSW 
Baskerville,WA 
Basket Range,SA 
Bassendean Dc,WA 
Bassendean,NSW 
Bassendean,WA 
Bass Hill,NSW 
Bass,VIC 
Batar Creek,NSW 
Batchelor,NT
Bateau Bay,NSW 
Batehaven,NSW 
Batemans Bay,NSW 
Bateman,WA 
Batesford,VIC 
Bathampton,NSW 
Bathumi,VIC 
Bathurst Island,NT
Bathurst,NSW 
Bathurst West,NSW 
Batlow,NSW 
Batman,VIC 
Battery Hill,QLD 
Battery Point,TAS 
Baudin Beach,SA 
Baudin,WA 
Bauhinia,QLD 
Baulkham Hills,NSW 
Bauple Forest,QLD 
Bauple,QLD 
Baw Baw,NSW 
Baw Baw,VIC 
Baw Baw Village,VIC 
Bawley Point,NSW 
Baxters Ridge,NSW 
Baxter,VIC 
Bayindeen,VIC 
Bayles,VIC 
Baynton East,VIC 
Baynton,VIC 
Baynton,WA 
Bay Of Shoals,SA 
Bayonet Head,WA 
Bayrick,QLD 
Bayswater North,VIC 
Bayswater,VIC 
Bayswater,WA 
Bayview Heights,QLD 
Bayview,NSW 
Bayview,NT
Bay Village,NSW 
Beach Holm,QLD 
Beachlands,WA 
Beachmere,QLD 
Beachport,SA 
Beacon Hill,NSW 
Beaconsfield,NSW 
Beaconsfield,QLD 
Beaconsfield,TAS 
Beaconsfield Upper,VIC 
Beaconsfield,VIC 
Beaconsfield,WA 
Beacon,WA 
Beadell,WA 
Bealiba,VIC 
Bean Creek,NSW 
Bearbong,NSW 
Beard,ACT 
Bearii,VIC 
Bears Lagoon,VIC 
Beatrice,QLD 
Beatty,SA 
Beauchamp,VIC 
Beaudesert,QLD 
Beaufort,QLD 
Beaufort River,WA 
Beaufort,SA 
Beaufort,VIC 
Beaumaris,TAS 
Beaumaris,VIC 
Beaumont Hills,NSW 
Beaumont,NSW 
Beaumont,SA 
Beaumonts,SA 
Beaumont,WA 
Beauty Point,NSW 
Beauty Point,TAS 
Beaver Rock,QLD 
Beazleys Bridge,VIC 
Beckenham,WA 
Beckom,NSW 
Bective,NSW 
Bectric,NSW 
Bedfordale,WA 
Bedford Park,SA 
Bedford Road,VIC 
Bedford,WA 
Bedgerabong,NSW 
Bedgerebong,NSW 
Bedourie,QLD 
Beeac,VIC 
Beebo,QLD 
Beechboro,WA 
Beecher,QLD 
Beechford,TAS 
Beech Forest,VIC 
Beechina,WA 
Beechmont,QLD 
Beechwood,NSW 
Beechworth,VIC 
Beecroft,NSW 
Beecroft Peninsula,NSW 
Beedelup,WA 
Beela,WA 
Beelbangera,NSW 
Beelbi Creek,QLD 
Beelerup,WA 
Beeliar,WA 
Beemunnel,NSW 
Beenaam Valley,QLD 
Beenak,VIC 
Beenleigh,QLD 
Beenong,WA 
Beerburrum,QLD 
Beermullah,WA 
Beeron,QLD 
Beerwah,QLD 
Bees Creek,NT
Beetaloo,SA 
Bega,NSW 
Beggan Beggan,NSW 
Begonia,QLD 
Beilba,QLD 
Bejoording,WA 
Belair,SA 
Belalie East,SA 
Belalie North,SA 
Belanglo,NSW 
Belbora,NSW 
Belcong,QLD 
Belconnen,ACT 
Belconnen DC,ACT 
Beldon,WA 
Belfield,NSW 
Belford,NSW 
Belfrayden,NSW 
Belgian Gardens,QLD 
Belgrave Heights,VIC 
Belgrave South,VIC 
Belgrave,VIC 
Belgravia,NSW 
Belhus,WA 
Belimbla Park,NSW 
Belivah,QLD 
Bella Creek,QLD 
Bellamack,NT
Bellambi,NSW 
Bellangry,NSW 
Bellara,QLD 
Bellarine,VIC 
Bellata,NSW 
Bella Vista,NSW 
Bellawongarah,NSW 
Bell Bay,TAS 
Bellbird Creek,VIC 
Bellbird Heights,NSW 
Bellbird,NSW 
Bellbird Park,QLD 
Bellbowrie,QLD 
Bellbrae,VIC 
Bellbridge,VIC 
Bellbrook,NSW 
Bellellen,VIC 
Bellenden Ker,QLD 
Bellerive,TAS 
Bellevue Heights,SA 
Bellevue Hill,NSW 
Bellevue,QLD 
Bellevue,WA 
Bellfield,QLD 
Bellfield,VIC 
Bellimbopinni,NSW 
Bellingen,NSW 
Bellingham,TAS 
Belli Park,QLD 
Bellmere,QLD 
Bellmount Forest,NSW 
Bell,NSW 
Bell Park,VIC 
Bell Post Hill,VIC 
Bell,QLD 
Bells Beach,VIC 
Bells Bridge,QLD 
Bells Creek,QLD 
Bellthorpe,QLD 
Belltrees,NSW 
Belmont North,NSW 
Belmont,NSW 
Belmont,QLD 
Belmont South,NSW 
Belmont,VIC 
Belmont,WA 
Belmore,NSW 
Belmore River,NSW 
Belmunda,QLD 
Beloka,NSW 
Belowra,NSW 
Belrose,NSW 
Belrose West,NSW 
Beltana,SA 
Belton,SA 
Belvedere Park,VIC 
Belvedere,QLD 
Belvidere,SA 
Belyuen,NT
Bemboka,NSW 
Bemerside,QLD 
Bemm River,VIC 
Benair,QLD 
Benalla,VIC 
Benambra,VIC 
Benandarah,NSW 
Benaraby,QLD 
Benarch,VIC 
Benarkin North,QLD 
Benarkin,QLD 
Bena,VIC 
Benayeo,VIC 
Benbournie,SA 
Ben Buckler,NSW 
Ben Bullen,NSW 
Bencubbin,WA 
Bendalong,NSW 
Bendemeer,NSW 
Bendick Murrell,NSW 
Bendigo Dc,VIC 
Bendigo Forward,VIC 
Bendigo South,VIC 
Bendigo,VIC 
Bendoc,VIC 
Bend Of Islands,VIC 
Bendolba,NSW 
Bendoura,NSW 
Benerembah,NSW 
Bengalla,NSW 
Benger,WA 
Bengworden,VIC 
Benholme,QLD 
Benjaberring,WA 
Benjeroop,VIC 
Benjinup,WA 
Benloch,VIC 
Ben Lomond,NSW 
Ben Lomond,TAS 
Bennetts Green,NSW 
Bennett Springs,WA 
Bennettswood,VIC 
Bennison,VIC 
Benobble,QLD 
Benolong,NSW 
Benowa,QLD 
Bensville,NSW 
Bentleigh East,VIC 
Bentleigh,VIC 
Bentley Dc,WA 
Bentley DC,WA 
Bentley,NSW 
Bentley Park,QLD 
Bentley South,WA 
Bentley,WA 
Benwerrin,VIC 
Berajondo,QLD 
Berala,NSW 
Berambing,NSW 
Berat,QLD 
Beremboke,VIC 
Beresfield,NSW 
Beresford,WA 
Bergalia,NSW 
Bergen,QLD 
Berkeley,NSW 
Berkeley Vale,NSW 
Berkshire Park,NSW 
Berkshire Valley,WA 
Berlang,NSW 
Bermagui,NSW 
Bernier Island,WA 
Berowra Creek,NSW 
Berowra Heights,NSW 
Berowra,NSW 
Berowra Waters,NSW 
Berrambool,NSW 
Berrara,NSW 
Berremangra,NSW 
Berrico,NSW 
Berridale,NSW 
Berriedale,TAS 
Berrigal,NSW 
Berrigan,NSW 
Berrilee,NSW 
Berrimah,NT
Berrimal,VIC 
Berrima,NSW 
Berrinba,QLD 
Berringama,VIC 
Berringa,VIC 
Berringer Lake,NSW 
Berri,SA 
Berriwillock,VIC 
Berrybank,VIC 
Berry Jerry,NSW 
Berry Mountain,NSW 
Berry,NSW 
Berry Park,NSW 
Berrys Creek,VIC 
Berry Springs,NT
Berserker,QLD 
Berthong,NSW 
Bertram,WA 
Berwick,VIC 
Beryl,NSW 
Bessiebelle,VIC 
Beswick Creek,NT
Beswick,NT
Bet Bet,VIC 
Bete Bolong North,VIC 
Bete Bolong,VIC 
Bethanga,VIC 
Bethania,QLD 
Bethany,SA 
Bethel,SA 
Bethungra,NSW 
Betley,VIC 
Beulah Park,SA 
Beulah,TAS 
Beulah,VIC 
Bevendale,NSW 
Beverford,VIC 
Beveridge,VIC 
Beverley Park,NSW 
Beverley,SA 
Beverley,WA 
Beverly Hills,NSW 
Bewong,NSW 
Bexhill,NSW 
Bexley North,NSW 
Bexley,NSW 
Bexley South,NSW 
Biala,NSW 
Biarra,QLD 
Bibaringa,SA 
Bibbenluke,NSW 
Biboohra,QLD 
Bibra Lake Dc,WA 
Bibra Lake DC,WA 
Bibra Lake,WA 
Bicheno,TAS 
Bickley Vale,NSW 
Bickley,WA 
Bicton,WA 
Biddaddaba,QLD 
Biddelia,WA 
Biddeston,QLD 
Biddon,NSW 
Bidgeemia,NSW 
Bidwill,NSW 
Bidwill,QLD 
Bielsdown Hills,NSW 
Big Bend,SA 
Big Desert,VIC 
Bigga,NSW 
Biggara,VIC 
Biggenden,QLD 
Biggera Waters,QLD 
Big Grove,WA 
Biggs Flat,SA 
Big Hill,NSW 
Big Hill,VIC 
Big Jacks Creek,NSW 
Big Pats Creek,VIC 
Big Ridge,NSW 
Big Springs,NSW 
Big Yengo,NSW 
Bilambil Heights,NSW 
Bilambil,NSW 
Bilbarin,WA 
Bilbul,NSW 
Bilgola Beach,NSW 
Bilgola,NSW 
Bilgola Plateau,NSW 
Bilinga,QLD 
Bilingurr,WA 
Billa Billa,QLD 
Billabong,VIC 
Billeroy,NSW 
Billiatt,SA 
Billilingra,NSW 
Billimari,NSW 
Billinudgel,NSW 
Billys Creek,NSW 
Billywillinga,NSW 
Biloela,QLD 
Bilpin,NSW 
Bilyana,QLD 
Bimberi,NSW 
Bimbijy,WA 
Bimbimbie,NSW 
Bimbi,NSW 
Bimbourie,VIC 
Binalong Bay,TAS 
Binalong,NSW 
Binda,NSW 
Bindera,NSW 
Bindi Bindi,WA 
Bindi,VIC 
Bindoon Training Area,WA 
Bindoon,WA 
Binduli,WA 
Bingara,NSW 
Bingeebeebra Creek,NSW 
Bingegang,QLD 
Bingie,NSW 
Bingil Bay,QLD 
Binginwarri,VIC 
Bingleburra,NSW 
Bingo Munjie,VIC 
Biniguy,NSW 
Binjari,NT
Binjour,QLD 
Binjura,NSW 
Binna Burra,NSW 
Binna Burra,QLD 
Binnaway,NSW 
Binningup,WA 
Binnum,SA 
Binnu,WA 
Binya,NSW 
Birchgrove,NSW 
Birchip,VIC 
Birchip West,VIC 
Birchmont,WA 
Birchmore,SA 
Birchs Bay,TAS 
Birdsville,QLD 
Birdum,NT
Birdwood,NSW 
Birdwood,SA 
Birdwoodton,VIC 
Birganbigil,NSW 
Birkalla,QLD 
Birkdale,QLD 
Birkenhead,SA 
Birmingham Gardens,NSW 
Birnam,QLD 
Birralee,TAS 
Birregurra,VIC 
Birriwa,NSW 
Birrong,NSW 
